doc                                            pg      OFF       ON    delta
gen2_059_Company_Handbook                       2   0.9787   0.9754  -0.0032
gen2_010_防災計画書                                  2   0.9377   0.9346  -0.0031
gen_long                                        1   0.8500   0.8470  -0.0030
04b88e7e0b25_index-19                           5   0.9902   0.9874  -0.0028
d1e8ac8fd1cc_kyodokenkyuyoushiki06              1   0.7958   0.7929  -0.0028
ed025cbecffb_index-23                           7   0.8575   0.8547  -0.0028
8efcd416dfb8_190098                             1   0.9534   0.9508  -0.0026
test_line_height                                1   0.9835   0.9810  -0.0025
338c92d6e393_190097                             1   0.9485   0.9460  -0.0024
15f9755cbccc_190094                             1   0.9506   0.9483  -0.0024
d6fd9a516382_190095                             1   0.9523   0.9499  -0.0024
gen2_067_SLA_Template                           2   0.9836   0.9813  -0.0023
gen2_023_育児休業規程                                 2   0.9889   0.9866  -0.0023
gen2_063_License_Agreement                      1   0.8927   0.8904  -0.0023
7ead52b63f0e_000067058                          1   0.9188   0.9165  -0.0023
test_misc_props                                 1   0.9859   0.9836  -0.0022
gen2_045_Training_Report                        1   0.9538   0.9517  -0.0021
6a39b1812290_001851238                          1   0.9892   0.9871  -0.0021
8bc929011c90_001851240                          1   0.9888   0.9868  -0.0020
gen_proposal                                    1   0.9878   0.9857  -0.0020
ed025cbecffb_index-23                           1   0.8570   0.8550  -0.0020
gen2_034_クレーム対応マニュアル                            1   0.9444   0.9425  -0.0019
test_line_heights                               2   0.9200   0.9182  -0.0018
gen2_035_電話対応マニュアル                              2   0.9918   0.9900  -0.0018
gen2_042_Strategic_Plan                         1   0.9066   0.9048  -0.0018
test_headings                                   1   0.9960   0.9943  -0.0017
0e7af1ae8f21_20230331_resources_open_data_co    5   0.8229   0.8213  -0.0016
gen2_055_Risk_Management_Report                 2   0.9913   0.9897  -0.0016
gen2_068_SOW_Template                           2   0.9823   0.9809  -0.0014
test_keepnext                                   1   0.9825   0.9812  -0.0013
gen2_073_Requirements_Document                  1   0.9013   0.9000  -0.0013
gen2_073_Requirements_Document                  2   0.9701   0.9690  -0.0012
gen2_061_NDA_Template                           1   0.9278   0.9266  -0.0012
1636d28e2c46_tokumei_08_04                      2   0.9034   0.9023  -0.0011
test_line_heights                               1   0.9088   0.9078  -0.0010
0e7af1ae8f21_20230331_resources_open_data_co   10   0.9019   0.9010  -0.0009
9a8e8ddab85b_order_06-1                         1   0.9186   0.9178  -0.0008
ed025cbecffb_index-23                          13   0.8962   0.8953  -0.0008
gen2_005_研修報告書                                  1   0.9359   0.9351  -0.0008
34140b9c5662_index-14                           6   0.9299   0.9292  -0.0007
ed025cbecffb_index-23                           9   0.8973   0.8966  -0.0007
test_heading_page2                              1   0.9902   0.9894  -0.0007
87b29ca447cc_tokumei_08_01-0                    1   0.9793   0.9786  -0.0007
b837808d0555_20240705_resources_data_guideli    7   0.8254   0.8247  -0.0007
04b88e7e0b25_index-19                           1   0.8318   0.8313  -0.0005
gen2_049_Safety_Committee_Minutes               2   0.9793   0.9798  +0.0005
fded6867fcbc_index-15                           1   0.8136   0.8141  +0.0005
a1d6e4efa2e7_tokumei_08_01-4                    6   0.9675   0.9680  +0.0005
pixel_test_sentence                             1   0.9972   0.9979  +0.0007
e201249db062_tokumei_08_05                      1   0.9502   0.9509  +0.0007
gen2_079_Technical_Specification                1   0.9236   0.9243  +0.0007
b837808d0555_20240705_resources_data_guideli    3   0.7632   0.7639  +0.0008
d57289db0a6a_kyodokenkyuyoushiki11              1   0.9115   0.9122  +0.0008
gen_contract                                    1   0.9868   0.9876  +0.0008
gen2_051_Security_Policy                        2   0.9121   0.9130  +0.0010
gen2_046_Travel_Report                          1   0.9035   0.9046  +0.0010
ed025cbecffb_index-23                           8   0.8521   0.8532  +0.0010
test_keepnext                                   2   0.9960   0.9970  +0.0011
gen2_056_Product_Plan                           1   0.8681   0.8692  +0.0011
db9ca18368cd_20241122_resource_open_data_01     3   0.7917   0.7928  +0.0012
gen_report                                      1   0.9859   0.9871  +0.0012
gen_memo                                        1   0.9904   0.9917  +0.0014
test_widow                                      3   0.9924   0.9938  +0.0014
2ea81a8441cc_0025006-192                        1   0.7906   0.7921  +0.0015
gen2_061_NDA_Template                           2   0.9041   0.9058  +0.0017
gen2_040_Board_Meeting_Minutes                  1   0.9166   0.9184  +0.0018
test_lists                                      1   0.9795   0.9813  +0.0018
gen2_000_取締役会議事録                                2   0.9662   0.9681  +0.0019
